molregno,canonical_smiles
97,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
115,CN1CCC[C@H]1c1cccnc1
146,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
147,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
543,CC(N)Cc1ccccc1
556,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
721,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
789,COCCc1ccc(OCC(O)CNC(C)C)cc1
880,CNC1(C)C2CCC(C2)C1(C)C
892,C[N+](C)(C)CCOC(N)=O.[Cl-]
921,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
923,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
924,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
1202,N=C(N)N/N=C/c1c(Cl)cccc1Cl
1216,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
1219,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
1223,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
1325,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
1333,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
1354,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
1362,O=C(O)c1ccccc1O
1369,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
1370,CC(C)NCC(O)COc1cccc2ccccc12
1380,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
1967,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
1991,CCCC(CCC)C(=O)[O-].[Na+]
2080,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
2084,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
2095,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
2130,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
2131,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
2132,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
2366,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
2393,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
2408,CCC1(CC)C(=O)NC(=O)N(C)C1=O
2654,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
2994,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
3012,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
3059,NCCCC[C@H](N)C(=O)O
3854,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
3859,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
4584,NCCc1ccc(O)c(O)c1
4775,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
5028,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
5638,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
5970,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
5975,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
5985,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
6005,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
6579,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
6883,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
6902,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
6914,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
7501,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
8130,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
8167,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
8193,Oc1c(I)cc(Cl)c2cccnc12
8788,NNc1nncc2ccccc12
9217,CC(c1cc2ccccc2s1)N(O)C(N)=O
9372,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
9495,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
10009,C[S+](C)[O-]
10661,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
10840,O=NN(CCCl)C(=O)NCCCl
10898,O=NN(CCCl)C(=O)NC1CCCCC1
11474,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21
11775,COc1ccc(OC)c(C(O)C(C)N)c1
11819,CC(C)c1cccc(C(C)C)c1O
12608,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
12825,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
12957,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
13371,O=C(O)c1ccccc1
13372,Nc1ccc(C(=O)O)cc1
13494,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
13756,C=CCOc1ccccc1OCC(O)CNC(C)C
13758,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
14125,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
14126,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
14440,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
14882,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1
15191,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O
15890,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
15938,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
16450,CC(=O)Nc1ccc(O)cc1
16456,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
16485,Cn1c(=O)c2c(ncn2C)n(C)c1=O
16498,CCOc1ccc(NC(C)=O)cc1
16759,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
17136,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
17169,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
17170,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
18271,CC(C)NCC(O)c1ccc2ccccc2c1
19278,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
19569,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
19572,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
19573,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
20027,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
20100,CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O.[Cl-]
20881,CC(=O)N[C@@H](CS)C(=O)O
20917,NCC(=O)CCC(=O)O
21523,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
21697,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
21698,COc1nc(C)nc(Cl)c1NC1=NCCN1
21716,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
22572,Cc1ccccc1-n1c(C)nc2ccccc2c1=O
22641,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
23199,C[C@H](N)Cc1ccccc1
23522,NC(=O)c1cnccn1
24522,O=c1[nH]c(=O)n(C2CCCO2)cc1F
26280,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
26590,c1ccc2[nH]c(-c3cscn3)nc2c1
26722,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12
27028,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21
27029,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
27152,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
27185,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
27190,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
27307,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
27308,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
27309,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
27340,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
27341,CCN(CC)CCNC(=O)c1ccc(N)cc1
27342,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
27347,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
27368,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
27370,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
27713,CNCCCC12CCC(c3ccccc31)c1ccccc12
27780,O=C(O)P(=O)(O)O
27812,CC(=O)OCC[N+](C)(C)C
28331,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
28939,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1
29569,CCN(CC)C(=O)N1CCN(C)CC1
29860,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
29890,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
30602,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]
31422,OCC(O)CO
31804,CN1C(=O)OC(C)(C)C1=O
31811,CCC1(C)CC(=O)NC1=O
32842,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
33202,Nc1ccc(O)c(C(=O)O)c1
33216,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1
33576,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1
33583,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1
33589,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21
33889,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21
34094,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
34350,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
34949,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1
36502,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1
37260,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
37266,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
37731,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21
38293,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1
38764,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
38898,Nc1nc2ccc(OC(F)(F)F)cc2s1
39821,C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
39857,NS(=O)(=O)Cc1noc2ccccc12
42290,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
43261,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O
43740,N[C@@H]1CONC1=O
44876,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
44905,Cc1cccc([C@H](C)c2c[nH]cn2)c1C
44920,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
46726,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
46727,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
47447,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
48697,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
48701,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1
49842,COC(=O)C(c1ccccc1)C1CCCCN1
49847,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
49869,CN1C(=O)CC(c2ccccc2)C1=O
51162,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
51182,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
53686,Cn1nnc2c(C(N)=O)ncn2c1=O
54070,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1
54547,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
54825,CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C
56095,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1
56131,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
56644,CS(=O)(=O)OCCCCOS(C)(=O)=O
56831,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12
57488,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
58841,NCCCC(N)(C(=O)O)C(F)F
60232,O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
60246,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
60500,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21
61680,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
61682,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O
61706,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
61717,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O
62817,Brc1c(NC2=NCCN2)ccc2nccnc12
63445,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1
64200,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
65415,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
65648,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12
65728,CCC1(c2ccccc2)C(=O)NCNC1=O
65935,Oc1nc(O)c2cn[nH]c2n1
66028,CNC(=O)Oc1cccc2ccccc12
66029,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl
66687,O=C1c2c(O)cccc2Cc2cccc(O)c21
67010,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
67784,CCCl
67839,ClC(Cl)Cl
69277,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4
70140,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O
71516,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
