"chembl_id","canonical_smiles","ic50_nm"
"CHEMBL324340","Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1","2500"
"CHEMBL324340","Cc1ccc2oc(-c3cccc(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1","50000"
"CHEMBL109600","COc1ccccc1-c1ccc2oc(-c3ccc(OC)c(N4C(=O)c5ccc(C(=O)O)cc5C4=O)c3)nc2c1","9000"
"CHEMBL357278","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)CC3)ccc2s1","4000"
"CHEMBL357119","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)NCCc4ccccc4)CC3)ccc2s1","17000"
"CHEMBL152968","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1","180"
"CHEMBL152968","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1","6000"
"CHEMBL152968","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1","37000"
"CHEMBL152968","Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)Nc4cccc(-c5ccccc5)c4)CC3)ccc2s1","24000"
"CHEMBL305153","CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21","29.4"
"CHEMBL305153","CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21","30.8"
"CHEMBL156707","O=C(O)c1cnc2cc(OCCOc3ccc4ccccc4c3)ccc2c1O","1584.89"
"CHEMBL279087","CCOC(=O)c1cn2c(n1)sc1ccccc12","120"
"CHEMBL279969","CCSc1nc2nc(C(=O)c3ccccc3)cn2c2c1CCC2","1850"
"CHEMBL20214","CCCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1CC","34"
"CHEMBL277617","CCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1CC","107"
"CHEMBL3350133","CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](NC(=O)CNC(=O)CCC(=O)NCC(=O)N[C@H]2CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5","22"
"CHEMBL1202755","CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl","8000"
"CHEMBL1202755","CC(CCCc1cccnc1)NC(=O)c1ccc2nc3ccc(C(C)C)cc3c(=O)n2c1.Cl.Cl","1000"
"CHEMBL542565","Cl.NCCn1nc2c3c(c(NCCCNCCO)ccc31)C(=O)c1c(O)ccc(O)c1-2","870"
"CHEMBL543512","CN(C)CCNCCNc1ccc2c3c(nn2CCN)-c2c(O)ccc(O)c2C(=O)c13.Cl","930"
"CHEMBL23228","CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(C)c1O","19"
"CHEMBL21222","COc1cc2nc(C(=O)c3ccccc3)cn2c2ccc(C(C)C)cc12","10"
"CHEMBL21087","CC(C)OC(=O)c1cn2c(n1)sc1ccccc12","160"
"CHEMBL296346","S=C(NCN1CCOCC1)Nc1ccc(Br)cn1","10000"
"CHEMBL296346","S=C(NCN1CCOCC1)Nc1ccc(Br)cn1","3800"
"CHEMBL296346","S=C(NCN1CCOCC1)Nc1ccc(Br)cn1","1000"
"CHEMBL129","Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O","4"
