"chembl_id","canonical_smiles","ic50_nm","standard_type"
"CHEMBL566182","Nc1ncnc2[nH]c(N3CCCCC3)nc12","50118.72","IC50"
"CHEMBL566182","Nc1ncnc2[nH]c(N3CCCCC3)nc12","50118.72","IC50"
"CHEMBL3443906","Cc1ccc(-n2c(O)cc(C)c(C#N)c2=O)c(C)c1","30199.52","IC50"
"CHEMBL3443906","Cc1ccc(-n2c(O)cc(C)c(C#N)c2=O)c(C)c1","30199.52","IC50"
"CHEMBL1388443","NS(=O)(=O)c1cccnc1Nc1c(Cl)cccc1Cl","30199.52","IC50"
"CHEMBL1388443","NS(=O)(=O)c1cccnc1Nc1c(Cl)cccc1Cl","30199.52","IC50"
"CHEMBL3439766","COc1ccc(CCC(=O)NCCN2CCC(c3cccs3)CC2)cc1","780.93","IC50"
"CHEMBL3439766","COc1ccc(CCC(=O)NCCN2CCC(c3cccs3)CC2)cc1","653.82","IC50"
"CHEMBL3439769","O=C(NCCc1ccccc1)NCCN1CCC(c2cccs2)CC1","855.34","IC50"
"CHEMBL3439769","O=C(NCCc1ccccc1)NCCN1CCC(c2cccs2)CC1","890.38","IC50"
"CHEMBL3439804","CC(C)NC(=O)Nc1nc2c(s1)CN(C(=O)NCc1cccs1)CC2","50118.72","IC50"
"CHEMBL3439804","CC(C)NC(=O)Nc1nc2c(s1)CN(C(=O)NCc1cccs1)CC2","26239.48","IC50"
"CHEMBL3439807","O=C(Nc1nc2c(s1)CN(S(=O)(=O)C1CC1)CC2)c1cccc(Cl)c1","12168.22","IC50"
"CHEMBL3439807","O=C(Nc1nc2c(s1)CN(S(=O)(=O)C1CC1)CC2)c1cccc(Cl)c1","20173.05","IC50"
"CHEMBL3443803","CSC1=Nc2c(cnn2-c2cccc(Cl)c2)C2=NCCCN12","28287.84","IC50"
"CHEMBL3443803","CSC1=Nc2c(cnn2-c2cccc(Cl)c2)C2=NCCCN12","5777.49","IC50"
"CHEMBL3443804","Cn1c(=O)c2c(n3ncnc13)NC(=O)CC2c1ccc(F)cc1","50118.72","IC50"
"CHEMBL3443805","CSC1=Nc2c(cnn2-c2ccc(C)cc2)C2=NCCCN12","50118.72","IC50"
"CHEMBL3443805","CSC1=Nc2c(cnn2-c2ccc(C)cc2)C2=NCCCN12","957.05","IC50"
"CHEMBL3443808","CN1CCc2c(sc3c2C(=O)NC(/C=C/c2ccccc2)N3)C1","100000","IC50"
"CHEMBL3443846","Cc1cnc(NC(=O)c2csc(NCC(C)C)n2)s1","1989.27","IC50"
"CHEMBL3499220","CC(C)C(=O)N1CCCC2(CCCN2CC2CCCC2)C1.O=C(O)C(F)(F)F","1152.43","IC50"
"CHEMBL3499220","CC(C)C(=O)N1CCCC2(CCCN2CC2CCCC2)C1.O=C(O)C(F)(F)F","1487.25","IC50"
"CHEMBL3499223","O=C(O)C(F)(F)F.O=C(c1ccc2[nH]ccc2c1)N1Cc2nc(CN3CCCCC3)oc2C1","33675.29","IC50"
"CHEMBL3499223","O=C(O)C(F)(F)F.O=C(c1ccc2[nH]ccc2c1)N1Cc2nc(CN3CCCCC3)oc2C1","23477.82","IC50"
"CHEMBL3441694","c1cncc(-c2ccc3c(c2)CCC32CCNCC2)c1","40869.14","IC50"
"CHEMBL3441694","c1cncc(-c2ccc3c(c2)CCC32CCNCC2)c1","46156.27","IC50"
"CHEMBL3441694","c1cncc(-c2ccc3c(c2)CCC32CCNCC2)c1","1283.31","IC50"
"CHEMBL3441694","c1cncc(-c2ccc3c(c2)CCC32CCNCC2)c1","1150.14","IC50"
"CHEMBL3441695","O=C(c1nc2c(s1)CCCN2CC1CC1)N1CCOCC1","19033.94","IC50"
"CHEMBL3441695","O=C(c1nc2c(s1)CCCN2CC1CC1)N1CCOCC1","13180.54","IC50"
"CHEMBL3441698","COCCn1cc(-c2cc(C(=O)N3CCCC3)c3ccccn23)nc1C","100000","IC50"
"CHEMBL3441698","COCCn1cc(-c2cc(C(=O)N3CCCC3)c3ccccn23)nc1C","100000","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","18907.76","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","15791.4","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","2591.42","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","2561.12","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","50118.72","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","27784.71","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","1005.8","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","5579.69","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","100000","IC50"
"CHEMBL3441699","O=C(c1cc(-c2ccn(CC3CC3)n2)n2ccccc12)N1CCOCC1","1209.26","IC50"
"CHEMBL3499486","Cc1nc(-c2cc(C(=O)N3CCCN(C)CC3)c3ccccn23)cn1C.O=C(O)C(F)(F)F","100000","IC50"
"CHEMBL3502891","O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.c1cncc(-c2ccc3c(c2)CCC32CCN(Cc3ccco3)CC2)c1","20526.85","IC50"
"CHEMBL3502891","O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.c1cncc(-c2ccc3c(c2)CCC32CCN(Cc3ccco3)CC2)c1","403.51","IC50"
"CHEMBL3502891","O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.c1cncc(-c2ccc3c(c2)CCC32CCN(Cc3ccco3)CC2)c1","336.68","IC50"
"CHEMBL3502891","O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.c1cncc(-c2ccc3c(c2)CCC32CCN(Cc3ccco3)CC2)c1","28749.68","IC50"
"CHEMBL3502892","O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.c1cncc(-c2ccc3c(c2)CCC32CCN(Cc3nccs3)CC2)c1","75239.51","IC50"
"CHEMBL3502892","O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.c1cncc(-c2ccc3c(c2)CCC32CCN(Cc3nccs3)CC2)c1","36061.39","IC50"
"CHEMBL3502892","O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.c1cncc(-c2ccc3c(c2)CCC32CCN(Cc3nccs3)CC2)c1","36316.26","IC50"
"CHEMBL3502892","O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.c1cncc(-c2ccc3c(c2)CCC32CCN(Cc3nccs3)CC2)c1","52401.2","IC50"
"CHEMBL3504434","CN(Cc1ccco1)C[C@H]1OC[C@@H]2CCN(Cc3ccccn3)C[C@@H]21.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F","1717.82","IC50"
"CHEMBL3504434","CN(Cc1ccco1)C[C@H]1OC[C@@H]2CCN(Cc3ccccn3)C[C@@H]21.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F","1245.42","IC50"
"CHEMBL3443001","Cc1ccc(CN2CCCn3c(nc(Cn4ccnc4)cc3=O)C2)o1","50118.72","IC50"
