"molregno","canonical_smiles","ic50_nm"
"107831","COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)N3CCCCC3)C2)cc(OC)c1OC","95000.0"
"107831","COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)N3CCCCC3)C2)cc(OC)c1OC","80.0"
"84977","O=c1cc(C(c2ccccc2)c2ccccc2)oc2cc(O)ccc12","10890.0"
"54798","NC(Cc1nc2cc(Br)ccc2n1CP(=O)(O)O)C(=O)OCc1ccccc1","56.0"
"54798","NC(Cc1nc2cc(Br)ccc2n1CP(=O)(O)O)C(=O)OCc1ccccc1","15500.0"
"193239","CNC(=O)c1cc2c(Oc3ccc(C(C)=O)cc3)cncc2s1","21.0"
"193239","CNC(=O)c1cc2c(Oc3ccc(C(C)=O)cc3)cncc2s1","40.0"
"192705","CNC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCCN(CCO)CCO)cc3)cncc2s1","680.0"
"192705","CNC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCCN(CCO)CCO)cc3)cncc2s1","600.0"
"64157","Cc1cccc2c(CN(C)C(=O)/C=C/c3cnc4c(c3)CCC(=O)N4)c(C)n(C)c12","20.0"
"64157","Cc1cccc2c(CN(C)C(=O)/C=C/c3cnc4c(c3)CCC(=O)N4)c(C)n(C)c12","70.0"
"218915","CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3","215.0"
"218915","CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3","100.0"
"218915","CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3","1900.0"
"218915","CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3","3488.0"
"225105","CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12","9300.0"
"225105","CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12","25140.0"
"225105","CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12","64090.0"
"225105","CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12","39420.0"
"219045","OC1(c2ccccc2F)c2ccccc2C2=NCCCN21","23.0"
"218465","OC1(c2cccnc2)c2ccccc2C2=NCCN21","640.0"
"237945","CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","2500.0"
"237945","CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","330.0"
"237945","CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","28800.0"
"237945","CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1","2900.0"
"237279","C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1","15000.0"
"237279","C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1","900.0"
"237279","C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1","47500.0"
"237279","C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1","4000.0"
"147999","C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1","50.0"
"172226","NC(Cc1ccnn1O)C(=O)O","2700.0"
"172226","NC(Cc1ccnn1O)C(=O)O","430000.0"
"173636","N=C(N)N[C@@H](C(=O)NCC(=O)N1CCC(c2cc(-c3ccccc3)[nH]n2)CC1)C1CCCCC1","120000.0"
"173548","COC(=O)[C@H](Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)CNC(=O)[C@@H](CCC(N)=O)N=C(N)N","900000.0"
"174288","CC(C)C[C@@H](N=C(N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(O)c(Cl)c3Cl)nn2C)CC1","8100.0"
"71566","Nc1nc(O)c2nn(-c3cccc(C(=O)NC[C@H]4CCCC[C@@H]4O)c3)nc2n1","320.0"
"1248327","O=C(O)[C@@H](NS(=O)(=O)c1ccccc1)c1ccccc1","11000.0"
"123630","CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1","500000.0"
"107682","O=C(O)/C=C/c1ccc(O)cc1","3000000.0"
"122953","N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-]","96000.0"
"546973","CC(C)CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl","9.0"
"52476","CN(c1ccccc1C(=O)O)S(=O)(=O)c1ccc2ccccc2c1","400000.0"
"146393","CC[C@H]1C(=O)SC[C@@H]1Cc1cncn1C","320.0"
"146393","CC[C@H]1C(=O)SC[C@@H]1Cc1cncn1C","775.0"
"146378","CC[C@@H]1COC[C@@H]1Cc1cncn1C","445.0"
"146378","CC[C@@H]1COC[C@@H]1Cc1cncn1C","1800.0"
"73681","CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N(C)CCN(C)C)C(C)C","30.0"
"73681","CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)N(C)CCN(C)C)C(C)C","290.0"
