molregno,canonical_smiles,ic50_nm,MolWt,LogP,NumHDonors,NumHAcceptors,Cluster
107831,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)N3CCCCC3)C2)cc(OC)c1OC,95000.0,615.6800000000003,3.3275000000000023,0.0,10.0,1
107831,COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)N3CCCCC3)C2)cc(OC)c1OC,80.0,615.6800000000003,3.3275000000000023,0.0,10.0,1
84977,O=c1cc(C(c2ccccc2)c2ccccc2)oc2cc(O)ccc12,10890.0,328.3670000000001,4.678800000000003,1.0,3.0,2
54798,NC(Cc1nc2cc(Br)ccc2n1CP(=O)(O)O)C(=O)OCc1ccccc1,56.0,468.2440000000002,2.547200000000001,3.0,6.0,2
54798,NC(Cc1nc2cc(Br)ccc2n1CP(=O)(O)O)C(=O)OCc1ccccc1,15500.0,468.2440000000002,2.547200000000001,3.0,6.0,2
193239,CNC(=O)c1cc2c(Oc3ccc(C(C)=O)cc3)cncc2s1,21.0,326.377,3.650800000000002,1.0,5.0,2
193239,CNC(=O)c1cc2c(Oc3ccc(C(C)=O)cc3)cncc2s1,40.0,326.377,3.650800000000002,1.0,5.0,2
192705,CNC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCCN(CCO)CCO)cc3)cncc2s1,680.0,484.5780000000003,1.8641999999999996,4.0,8.0,2
192705,CNC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCCN(CCO)CCO)cc3)cncc2s1,600.0,484.5780000000003,1.8641999999999996,4.0,8.0,2
64157,Cc1cccc2c(CN(C)C(=O)/C=C/c3cnc4c(c3)CCC(=O)N4)c(C)n(C)c12,20.0,402.4980000000002,3.746640000000002,1.0,4.0,2
64157,Cc1cccc2c(CN(C)C(=O)/C=C/c3cnc4c(c3)CCC(=O)N4)c(C)n(C)c12,70.0,402.4980000000002,3.746640000000002,1.0,4.0,2
218915,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,215.0,389.4950000000001,7.052100000000005,1.0,3.0,2
218915,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,100.0,389.4950000000001,7.052100000000005,1.0,3.0,2
218915,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,1900.0,389.4950000000001,7.052100000000005,1.0,3.0,2
218915,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,3488.0,389.4950000000001,7.052100000000005,1.0,3.0,2
225105,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,369.43200000000013,4.772000000000004,1.0,6.0,2
225105,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,25140.0,369.43200000000013,4.772000000000004,1.0,6.0,2
225105,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,64090.0,369.43200000000013,4.772000000000004,1.0,6.0,2
225105,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,39420.0,369.43200000000013,4.772000000000004,1.0,6.0,2
219045,OC1(c2ccccc2F)c2ccccc2C2=NCCCN21,23.0,282.318,2.4850000000000003,1.0,3.0,0
218465,OC1(c2cccnc2)c2ccccc2C2=NCCN21,640.0,251.289,1.3508,1.0,4.0,0
237945,CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,2500.0,439.5370000000001,4.973600000000004,1.0,5.0,2
237945,CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,330.0,439.5370000000001,4.973600000000004,1.0,5.0,2
237945,CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,28800.0,439.5370000000001,4.973600000000004,1.0,5.0,2
237945,CS(=O)(=O)c1ccc(CSc2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,2900.0,439.5370000000001,4.973600000000004,1.0,5.0,2
237279,C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,15000.0,423.53800000000007,5.307500000000004,1.0,4.0,2
237279,C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,900.0,423.53800000000007,5.307500000000004,1.0,4.0,2
237279,C[S+]([O-])c1ccccc1CSc1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,47500.0,423.53800000000007,5.307500000000004,1.0,4.0,2
