"chembl_id","canonical_smiles","pchembl_value"
"CHEMBL435423","CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NC(=O)OC(C)(C)C)CC1","5.92"
"CHEMBL435423","CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NC(=O)OC(C)(C)C)CC1","4.85"
"CHEMBL435423","CC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NC(=O)OC(C)(C)C)CC1","4.19"
"CHEMBL1161260","N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC[C@H]2C(=O)O)c1","5.54"
"CHEMBL1161260","N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC[C@H]2C(=O)O)c1","4.80"
"CHEMBL1161256","N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)C(=O)O)c1","4.52"
"CHEMBL308930","COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)N3CCCCC3)C2)cc(OC)c1OC","4.02"
"CHEMBL308930","COc1cc(C(=O)N2CCN(C(=O)c3cc(OC)c(OC)c(OC)c3)C(COC(=O)N3CCCCC3)C2)cc(OC)c1OC","7.10"
"CHEMBL292697","O=c1cc(C(c2ccccc2)c2ccccc2)oc2cc(O)ccc12","4.96"
"CHEMBL289142","NC(Cc1nc2cc(Br)ccc2n1CP(=O)(O)O)C(=O)OCc1ccccc1","7.25"
"CHEMBL289142","NC(Cc1nc2cc(Br)ccc2n1CP(=O)(O)O)C(=O)OCc1ccccc1","4.81"
"CHEMBL420762","Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(N(C)C)c3ccccc32)cc1","8.03"
"CHEMBL438897","CC(=O)N[C@@H]1CCC(=O)NCC(=O)NCC[C@H]2NC(=O)[C@@H](CC(=O)NC[C@H](C(N)=O)NC(=O)[C@H]3CCCN3C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc3ccc4ccccc4c3)NC2=O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(Cl)cc2)NC1=O","9.62"
"CHEMBL118299","CNC(=O)c1cc2c(Oc3ccc(C(C)=O)cc3)cncc2s1","7.68"
